"module name","license","repository"
"@babel/code-frame@7.16.7","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.16.8","MIT","https://github.com/babel/babel"
"@babel/core@7.16.7","MIT","https://github.com/babel/babel"
"@babel/generator@7.16.8","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-environment-visitor@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-get-function-arity@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helpers@7.16.7","MIT","https://github.com/babel/babel"
"@babel/highlight@7.16.7","MIT","https://github.com/babel/babel"
"@babel/parser@7.16.8","MIT","https://github.com/babel/babel"
"@babel/runtime-corejs3@7.16.8","MIT","https://github.com/babel/babel"
"@babel/runtime@7.16.7","MIT","https://github.com/babel/babel"
"@babel/template@7.16.7","MIT","https://github.com/babel/babel"
"@babel/traverse@7.16.8","MIT","https://github.com/babel/babel"
"@babel/types@7.16.8","MIT","https://github.com/babel/babel"
"@date-io/core@1.3.13","MIT","https://github.com/dmtrKovalenko/date-io"
"@date-io/luxon@1.3.13","MIT","https://github.com/dmtrKovalenko/date-io"
"@emotion/cache@11.7.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/cache"
"@emotion/hash@0.8.0","MIT","https://github.com/emotion-js/emotion/tree/master/packages/hash"
"@emotion/is-prop-valid@0.8.8","MIT","https://github.com/emotion-js/emotion/tree/master/packages/is-prop-valid"
"@emotion/memoize@0.7.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/memoize"
"@emotion/react@11.7.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/react"
"@emotion/serialize@1.0.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/serialize"
"@emotion/sheet@1.1.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/sheet"
"@emotion/stylis@0.8.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/stylis"
"@emotion/unitless@0.7.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/unitless"
"@emotion/utils@1.0.0","MIT","https://github.com/emotion-js/emotion/tree/master/packages/utils"
"@emotion/weak-memoize@0.2.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/weak-memoize"
"@fortawesome/fontawesome-common-types@0.2.36","MIT","https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/fontawesome-svg-core@1.2.36","MIT","https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/free-solid-svg-icons@5.15.4","(CC-BY-4.0 AND MIT)","https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/pro-duotone-svg-icons@5.15.4",,"https://github.com/FortAwesome/Font-Awesome"
